Повесть временных лет|РГБ, собр. Иосифо-Волоколамского монастыря № 191 (583)|Сборник, XVI и XVII вв., 8, 415 л. Текст состоит из 16 отрывков. Повесть временных лет начинается с л. 20. |Повести временых лет откуду пошла Руская земля и кто в ней первое почя княжити, и откуду Руская земля стала есть |Иосиф, иером. Опись рукописей перенесенных из библиотеки Иосифова монастыря в библиотеку Московской Духовной академии М., 1882 С. 236
Летописец Руский и Киевский|РГБ, собр. Н. П. Румянцева № 252|2о, 536 л., нового письма. Содержит в себе Летопись Нестора и его продолжателей, по большей части сходную с Новгородским летописцем и с Софийским времеником, и доведеную до 7182 года.||Востоков А. Х. Описание русских и словенских рукописей Румянцевского музеума. СПб., 1842. С. 355
Летописец Русский от Кия до убиения Святополком Бориса, Глеба и Святослава|РГБ, собр. Н. П. Румянцева № 247|Списан для графа Н. П. (Румянцева) с рукописи Троицкой Лавры на 30 л.||Востоков А. Х. Описание русских и словенских рукописей Румянцевского музеума. СПб., 1842. С. 340.
Летописец русский до 6424 г.|РНБ, Q.XVII.151|Cборник, первая половина XVII в., 4о, 252 л., скоропись разных почерков. Оканчивается 6424 (916) годом. |Летописец Русский откуду пошла Русская земля и кто почат в ней княжити первое и откуду стала Руская земля, отселе начнем повесть сию|Отчет Императорской публичной библиотеки за 1878 г. С. 16
Летописец до 1547 г.|РНБ, Q.IV.603|Сборник, XVII в., 2о, 551 л., полуустав. Текст начинается с л. 181. Прерывается на 6936 г. С л. 426 - продолжение предшествующего летописца с того слова, на котором он остановился: рассказ событий оканчивается 1547 г.|Летописец Руския земля. Повести временных лет откуду пошла Рускаа земля, и кто в ней почя первое княжити и откуду Руская земля стала есть|Отчет Императорской публичной библиотеки за 1878 г. С. 14.
Летописец до 1534 г.||Первой половины XVII в. Текст летописца начинается с л. 769 "Повестью временных лет" и завершается 1534 г.||Воскрес. С. 181 (?).
Летопись с продолжением до 1419 г.|РГБ, собр. МДА № 24|Полуустав XV в., 4о, 261 л. На первом белом листе: "Живоначальные Троицы", на последнем тою же рукою: "Сергиева монастыря". На втором белом листе вверху полууставом XVII века: "Повесть временных лет, черноризца Феодосьева монастыря Печерского (Нестора), о|Повесть временных лет, откуда есть пошла русская земля и кто в ней почал первое княжити|Леонид (Кавелин). Сведения о славянских рукописях, поступивших из книгохранилища св. Троицкой Сергиевой Лавры в библиотеку Троицкой духовной семинарии в 1747 году (ныне находящихся в библиотеке Московской Духовной Академии). Вып. 1. №24. С. 123-124.
Летописец с продолжением до 1496 г. Без начала и конца||XVII в., 346 л., скоропись разных почерков.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  № 191. С. 116
Летопись с продолжением до 1518 г.||XVI в., 379 л., полуустав, переходящий в скоропись, разных почерков. Начального листа не достает. Из Архангельской библиотеки. Тексту летописи предшествуют: 1) Никифора Патриарха Царяграда Летописец вскоре; 2) Л. 8 - Епифаново взыскание о Пророцех; 3) Л. ||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  Приб. II. № 58. С
Летопись Несторова, доведенная до убиения Святополком князей Бориса и Глеба в 1050 г. (утраченная)||В числе 211 №№ славянских рукописей, поступивших в 1747 году из Лаврского книгохранилища в библиотеку Троицкой Духовной Семинарии, рукописей писанных на пергамене значится всего 9 №№. Одна из них, а именно: "Летописец (Летопись Несторова, доведенная до уб|Летописец писан на телятине|Леонид (Кавелин). Сведения о славянских рукописях, поступивших из книгохранилища св. Троицкой Сергиевой Лавры в библиотеку Троицкой духовной семинарии в 1747 году (ныне находящихся в библиотеке Московской Духовной Академии). Вып. 1. М., 1887. С. 1.
Летописец с продолжением до 1496 г.|РНБ, F.IV.218|Рукопись скорописная XVII в., на 346 л. Текст начинается с л. 93. Несторова летопись с продолжателями по 7004 (1496) год. Без начала и конца. ||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 116
